Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-03-09,84.0,0.0,0.25,0.3118,0.0659,0.0275,0.0191
2019-03-09,84.0,6.2,9.7,0.3118,-0.9416,0.0285,0.0177
2019-03-09,88.0,0.0,0.7,0.3118,0.0116,0.0065,0.0045
2019-03-09,88.0,9.9,13.9,0.3118,-0.9993,0.0035,0.0006
2019-03-16,70.0,8.5,12.7,0.288,0.9929,0.0043,0.0031
2019-03-16,70.0,0.0,0.35,0.2776,-0.0055,0.0036,0.0025
2019-03-16,75.0,3.5,6.4,0.288,0.8907,0.0414,0.0294
2019-03-16,75.0,0.2,0.45,0.2776,-0.1012,0.0408,0.0283
2019-03-16,77.0,3.6,4.1,0.288,0.7773,0.066,0.0468
2019-03-16,77.0,0.4,0.7,0.2776,-0.2152,0.0674,0.0457
2019-03-16,79.0,2.25,2.6,0.2776,0.6246,0.087,0.0595
2019-03-16,79.0,0.85,2.1,0.2776,-0.3764,0.0878,0.06
2019-03-16,80.0,1.45,2.15,0.2669,0.5349,0.0949,0.0624
2019-03-16,80.0,1.35,2.3,0.3111,-0.4682,0.0821,0.0624
2019-03-16,82.0,0.65,1.35,0.3077,0.372,0.0783,0.0594
2019-03-16,82.0,2.5,3.4,0.3077,-0.6304,0.0792,0.0597
2019-03-16,83.5,0.3,1.1,0.2548,0.2209,0.0742,0.0466
2019-03-16,83.5,3.5,4.0,0.2548,-0.7841,0.0755,0.0466
2019-03-16,86.0,0.05,1.05,0.3089,0.133,0.0443,0.0337
2019-03-16,86.0,5.2,7.9,0.3089,-0.8725,0.0452,0.0331
2019-03-16,88.0,0.0,2.2,0.3089,0.0678,0.027,0.0206
2019-03-16,88.0,6.1,9.8,0.3089,-0.9397,0.0279,0.0194
2019-03-16,92.0,0.0,2.15,0.3089,0.013,0.0069,0.0052
2019-03-16,92.0,10.2,13.8,0.3089,-0.9982,0.0055,0.0015
